Frequency,DB(V(C1:1))
8874.650329,12.29564902
9081.367491,13.06508055
9292.899713,13.69493816
9509.359155,14.04423481
9730.860584,13.98096387
9957.521445,13.46646018
10189.46191,12.58604155
10426.80497,11.48482938
10669.67646,10.29026805
10918.20515,9.08399124
11172.52282,7.908880508
11432.76431,6.78373347
11699.0676,5.714407069
11971.57389,4.700414378
12250.42767,3.738443625
12535.77679,2.82413622
12827.77254,1.952947673
13126.56974,1.120540798
13432.32683,0.3229450912
13745.20592,-0.4433981684
14065.37289,-1.18164445
14392.99751,-1.894577604
14728.25349,-2.584649438
15071.31859,-3.254019936
15422.3747,-3.904594822
15781.60795,-4.538059214
16149.20882,-5.155907087
16525.37222,-5.759466751
16910.29759,-6.349922719
17304.18902,-6.928334438
17707.25536,-7.495652283
18119.71032,-8.052731257
18541.7726,-8.600342708
18973.66596,-9.139184394
19415.61942,-9.669889133
19867.86729,-10.19303227
20330.64937,-10.70913814
20804.21103,-11.21868565
21288.80335,-11.72211317
21784.68329,-12.21982278
22292.11375,-12.71218398
22811.36378,-13.19953697
23342.7087,-13.68219551
23886.43023,-14.16044946
24442.81667,-14.63456704
25012.16301,-15.1047968
25594.77113,-15.57136939
26190.94993,-16.03449916
26801.01553,-16.49438554
27425.29138,-16.95121435
28064.10848,-17.40515888
28717.80554,-17.85638095
29386.72916,-18.30503182
30071.23402,-18.751253
30771.68304,-19.19517704
31488.44761,-19.63692819
32221.90778,-20.07662302
32972.45243,-20.51437099
33740.47951,-20.95027497
34526.39624,-21.38443168
35330.61932,-21.81693218
36153.57516,-22.24786219
36995.70011,-22.67730249
37857.44067,-23.10532928
38739.25374,-23.53201443
39641.60688,-23.95742578
40564.97852,-24.38162741
41509.85826,-24.80467989
42476.74706,-25.22664046
43466.1576,-25.64756328
44478.61448,-26.0674996
45514.6545,-26.48649793
46574.827,-26.90460422
47659.69408,-27.32186199
48769.83097,-27.7383125
49905.82627,-28.15399487
51068.28229,-28.56894618
52257.8154,-28.98320165
53475.05629,-29.39679466
54720.65036,-29.80975692
55995.25805,-30.22211853
57299.55516,-30.63390809
58634.23326,-31.04515276
60000,-31.45587834
61397.57954,-31.86610938
62827.71288,-32.27586919
64291.15831,-32.68517994
65788.69177,-33.09406273
67321.10726,-33.50253762
68889.21729,-33.9106237
70493.8533,-34.31833911
72135.86608,-34.72570115
73816.12625,-35.13272628
75535.52471,-35.53943014
77294.9731,-35.94582766
79095.40431,-36.35193303
80937.77296,-36.75775978
82823.05588,-37.16332078
84752.25268,-37.56862832
86726.38624,-37.97369408
88746.50329,-38.3785292
90813.67491,-38.7831443
92928.99713,-39.1875495
95093.59155,-39.59175443
97308.60584,-39.99576828
99575.21445,-40.39959983
101894.6191,-40.80325741
104268.0497,-41.206749
106696.7646,-41.61008219
109182.0515,-42.01326421
111725.2282,-42.41630198
114327.6431,-42.81920207
116990.676,-43.22197077
119715.7389,-43.62461407
122504.2767,-44.02713768
125357.7679,-44.42954706
128277.7254,-44.83184739
131265.6974,-45.23404365
134323.2683,-45.63614057
137452.0592,-46.03814265
140653.7289,-46.44005422
143929.9751,-46.84187937
147282.5349,-47.24362203
150713.1859,-47.64528595
154223.747,-48.0468747
157816.0795,-48.44839167
161492.0882,-48.84984014
165253.7222,-49.2512232
169102.9759,-49.65254381
173041.8902,-50.05380481
177072.5536,-50.45500889
181197.1032,-50.85615862
185417.726,-51.25725648
189736.6596,-51.6583048
194156.1942,-52.05930582
198678.6729,-52.46026168
203306.4937,-52.86117443
208042.1103,-53.26204602
212888.0335,-53.6628783
217846.8329,-54.06367304
222921.1375,-54.46443196
228113.6378,-54.86515665
233427.087,-55.26584868
238864.3023,-55.66650951
244428.1667,-56.06714056
250121.6301,-56.46774316
255947.7113,-56.8683186
261909.4993,-57.26886811
268010.1553,-57.66939285
274252.9138,-58.06989395
280641.0848,-58.47037247
287178.0554,-58.87082943
293867.2916,-59.2712658
300712.3402,-59.67168252
307716.8304,-60.07208045
314884.4761,-60.47246047
322219.0778,-60.87282336
329724.5243,-61.27316991
337404.7951,-61.67350085
345263.9624,-62.07381688
353306.1932,-62.47411868
361535.7516,-62.87440688
369957.0011,-63.27468211
378574.4067,-63.67494494
387392.5374,-64.07519594
396416.0688,-64.47543563
405649.7852,-64.87566452
415098.5826,-65.27588311
424767.4706,-65.67609186
434661.576,-66.07629121
444786.1448,-66.47648158
455146.545,-66.87666338
465748.27,-67.27683699
476596.9408,-67.67700279
487698.3097,-68.07716112
499058.2627,-68.47731232
510682.8229,-68.87745672
522578.154,-69.27759461
534750.5629,-69.6777263
547206.5036,-70.07785205
559952.5805,-70.47797215
572995.5516,-70.87808684
586342.3326,-71.27819636
600000,-71.67830096
613975.7954,-72.07840085
628277.1288,-72.47849624
642911.5831,-72.87858733
657886.9177,-73.27867433
673211.0726,-73.67875741
688892.1729,-74.07883674
704938.533,-74.47891251
721358.6608,-74.87898487
738161.2625,-75.27905397
755355.2471,-75.67911996
772949.731,-76.07918297
790954.0431,-76.47924316
809377.7296,-76.87930063
828230.5588,-77.27935551
847522.5268,-77.67940793
867263.8624,-78.07945799
887465.0329,-78.47950579
908136.7491,-78.87955144
929289.9713,-79.27959504
950935.9155,-79.67963667
973086.0584,-80.07967643
995752.1445,-80.4797144
1018946.191,-80.87975066
1042680.497,-81.27978529
1066967.646,-81.67981836
1091820.515,-82.07984994
1117252.282,-82.4798801
1143276.431,-82.8799089
1169906.76,-83.27993641
1197157.389,-83.67996268
1225042.767,-84.07998776
1253577.679,-84.48001172
