Frequency,DB(V(C1:1))@1,DB(V(C1:1))@2,DB(V(C1:1))@3
26801.01553,-8.975626896,-14.48296148,-20.34428753
27425.29138,-7.626590079,-12.9359676,-18.73004701
28064.10848,-6.109504457,-11.09071451,-16.76401522
28717.80554,-4.431350432,-8.832193986,-14.25857616
29386.72916,-2.698246551,-6.03283319,-10.85540844
30071.23402,-1.278358719,-2.910368558,-6.008608884
30771.68304,-0.8488162316,-1.665922573,-3.177396773
31488.44761,-1.708084143,-4.064382901,-8.089868121
32221.90778,-3.305875348,-7.16202411,-12.32677341
32972.45243,-5.043667075,-9.74610328,-15.31976549
33740.47951,-6.669142381,-11.83203359,-17.5839792
34526.39624,-8.125083583,-13.55284959,-19.39600678
35330.61932,-9.41872948,-15.00905894,-20.90450699
36153.57516,-10.57248718,-16.26846527,-22.19646683
36995.70011,-11.60913851,-17.37713288,-23.32669105
37857.44067,-12.54819894,-18.36725583,-24.3317863
38739.25374,-13.4055646,-19.26202856,-25.23735975
39641.60688,-14.19400842,-20.07863478,-26.0620009
40564.97852,-14.9237979,-20.83012215,-26.81961978
41509.85826,-15.60323752,-21.52661218,-27.52089004
42476.74706,-16.23910105,-22.17610408,-28.17417726
43466.1576,-16.83696468,-22.78502339,-28.78615765
44478.61448,-17.40146107,-23.3586057,-29.36224286
45514.6545,-17.93647312,-23.90117107,-29.90687948
46574.827,-18.44528248,-24.41632411,-30.42376488
47659.69408,-18.93068433,-24.90710261,-30.91600611
48769.83097,-19.39507673,-25.37608962,-31.38623872
49905.82627,-19.84053079,-25.82549928,-31.83671724
51068.28229,-20.26884639,-26.25724335,-32.2693849
52257.8154,-20.68159661,-26.67298349,-32.68592815
53475.05629,-21.08016368,-27.07417269,-33.08781974
54720.65036,-21.46576801,-27.46208853,-33.47635314
55995.25805,-21.83949215,-27.83786001,-33.85267024
57299.55516,-22.20230035,-28.20248956,-34.21778403
58634.23326,-22.55505492,-28.55687101,-34.57259701
60000,-22.8985298,-28.90180454,-34.9179166
61397.57954,-23.23342203,-29.23800917,-35.25446785
