Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-06
Horizontal Delay,-4e-06
Sample Interval,8e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.376160e-05,-0.259219
-4.376080e-05,-0.256063
-4.376000e-05,-0.255312
-4.375920e-05,-0.254844
-4.375840e-05,-0.25975
-4.375760e-05,-0.256188
-4.375680e-05,-0.254781
-4.375600e-05,-0.255406
-4.375520e-05,-0.258969
-4.375440e-05,-0.260656
-4.375360e-05,-0.263781
-4.375280e-05,-0.268344
-4.375200e-05,-0.26575
-4.375120e-05,-0.268062
-4.375040e-05,-0.258188
-4.374960e-05,-0.260094
-4.374880e-05,-0.259875
-4.374800e-05,-0.25375
-4.374720e-05,-0.258437
-4.374640e-05,-0.259406
-4.374560e-05,-0.256125
-4.374480e-05,-0.26225
-4.374400e-05,-0.264688
-4.374320e-05,-0.267469
-4.374240e-05,-0.264531
-4.374160e-05,-0.268125
-4.374080e-05,-0.263156
-4.374000e-05,-0.263188
-4.373920e-05,-0.260688
-4.373840e-05,-0.254906
-4.373760e-05,-0.253156
-4.373680e-05,-0.257812
-4.373600e-05,-0.254844
-4.373520e-05,-0.2625
-4.373440e-05,-0.263563
-4.373360e-05,-0.264031
-4.373280e-05,-0.263563
-4.373200e-05,-0.261531
-4.373120e-05,-0.271469
-4.373040e-05,-0.268156
-4.372960e-05,-0.268156
-4.372880e-05,-0.269313
-4.372800e-05,-0.260625
-4.372720e-05,-0.260406
-4.372640e-05,-0.257
-4.372560e-05,-0.256906
-4.372480e-05,-0.261656
-4.372400e-05,-0.264969
-4.372320e-05,-0.264625
-4.372240e-05,-0.263469
-4.372160e-05,-0.267937
-4.372080e-05,-0.269406
-4.372000e-05,-0.262094
-4.371920e-05,-0.2705
-4.371840e-05,-0.26175
-4.371760e-05,-0.259813
-4.371680e-05,-0.2595
-4.371600e-05,-0.252375
-4.371520e-05,-0.25875
-4.371440e-05,-0.268469
-4.371360e-05,-0.267188
-4.371280e-05,-0.269813
-4.371200e-05,-0.266781
-4.371120e-05,-0.269125
-4.371040e-05,-0.269656
-4.370960e-05,-0.268156
-4.370880e-05,-0.269906
-4.370800e-05,-0.262875
-4.370720e-05,-0.261219
-4.370640e-05,-0.261063
-4.370560e-05,-0.258406
-4.370480e-05,-0.26325
-4.370400e-05,-0.259813
-4.370320e-05,-0.261
-4.370240e-05,-0.270094
-4.370160e-05,-0.270937
