,,
,            Frequency,           DB(V(C:2))
,1282777.254,-50.30503997
,1312656.974,-50.50526115
,1343232.683,-50.70547237
,1374520.592,-50.90567408
,1406537.289,-51.10586671
,1439299.751,-51.30605066
,1472825.349,-51.50622633
,1507131.859,-51.70639409
,1542237.47,-51.9065543
,1578160.795,-52.1067073
,1614920.882,-52.3068534
,1652537.222,-52.50699293
,1691029.759,-52.70712617
,1730418.902,-52.90725342
,1770725.536,-53.10737494
,1811971.032,-53.30749099
,1854177.26,-53.50760181
,1897366.596,-53.70770764
,1941561.942,-53.90780871
,1986786.729,-54.10790523
,2033064.937,-54.30799741
,2080421.103,-54.50808543
,2128880.335,-54.70816949
,2178468.329,-54.90824977
,2229211.375,-55.10832644
,2281136.378,-55.30839965
,2334270.87,-55.50846957
,2388643.023,-55.70853634
,2444281.667,-55.9086001
,2501216.301,-56.108661
,2559477.113,-56.30871915
,2619094.993,-56.50877468
,2680101.553,-56.70882772
,2742529.138,-56.90887837
,2806410.848,-57.10892674
,2871780.554,-57.30897293
,2938672.916,-57.50901704
,3007123.402,-57.70905917
,3077168.304,-57.9090994
,3148844.761,-58.10913782
,3222190.778,-58.30917451
,3297245.243,-58.50920955
,3374047.951,-58.70924301
,3452639.624,-58.90927496
,3533061.932,-59.10930548
,3615357.516,-59.30933462
,3699570.011,-59.50936245
,3785744.067,-59.70938903
,3873925.374,-59.90941442
,3964160.688,-60.10943866
,4056497.852,-60.30946181
,4150985.826,-60.50948391
,4247674.706,-60.70950503
,4346615.76,-60.90952519
,4447861.448,-61.10954444
,4551465.45,-61.30956283
,4657482.7,-61.50958039
,4765969.408,-61.70959716
,4876983.097,-61.90961318
,4990582.627,-62.10962847
,5106828.229,-62.30964308
,5225781.54,-62.50965702
,5347505.629,-62.70967034
,5472065.036,-62.90968307
,5599525.805,-63.10969521
,5729955.516,-63.30970682
,5863423.326,-63.5097179
,6000000,-63.70972848
