Frequency,P(V(C1:1))
10426.80497,86.87577961
10669.67646,86.87478775
10918.20515,86.87119884
11172.52282,86.86492355
11432.76431,86.85586185
11699.0676,86.84390181
11971.57389,86.82891819
12250.42767,86.81077085
12535.77679,86.78930284
12827.77254,86.76433831
13126.56974,86.73567995
13432.32683,86.70310609
13745.20592,86.66636725
14065.37289,86.6251821
14392.99751,86.57923268
14728.25349,86.52815872
15071.31859,86.47155086
15422.3747,86.40894246
15781.60795,86.33979984
16149.20882,86.26351023
16525.37222,86.17936725
16910.29759,86.08655284
17304.18902,85.98411498
17707.25536,85.87093979
18119.71032,85.74571628
18541.7726,85.60689158
18973.66596,85.45261335
19415.61942,85.2806548
19867.86729,85.08831625
20330.64937,84.87229369
20804.21103,84.62850118
21288.80335,84.35182681
21784.68329,84.03579133
22292.11375,83.67206136
22811.36378,83.24973932
23342.7087,82.75430174
23886.43023,82.16596532
24442.81667,81.45708828
25012.16301,80.58787619
25594.77113,79.49895944
26190.94993,78.0978596
26801.01553,76.23267657
27425.29138,73.63678219
28064.10848,69.80104598
28717.80554,63.64437194
29386.72916,52.57962763
30071.23402,30.28340179
30771.68304,-8.558115771
31488.44761,-41.86792496
32221.90778,-58.83034157
32972.45243,-67.55839895
33740.47951,-72.64710644
34526.39624,-75.93069065
35330.61932,-78.21052875
36153.57516,-79.88056738
36995.70011,-81.15432352
37857.44067,-82.15677005
38739.25374,-82.96564469
39641.60688,-83.63172961
40564.97852,-84.18955464
41509.85826,-84.66339414
42476.74706,-85.07079935
43466.1576,-85.42476863
44478.61448,-85.7351301
45514.6545,-86.00945019
46574.827,-86.25364735
47659.69408,-86.4724165
48769.83097,-86.66952897
49905.82627,-86.84804839
51068.28229,-87.01048888
52257.8154,-87.15893263
53475.05629,-87.29511862
54720.65036,-87.42051028
55995.25805,-87.53634785
57299.55516,-87.64368922
58634.23326,-87.74344213
60000,-87.83638979
61397.57954,-87.92321144
62827.71288,-88.00449896
64291.15831,-88.08077045
65788.69177,-88.15248127
67321.10726,-88.22003322
68889.21729,-88.28378218
70493.8533,-88.3440444
72135.86608,-88.40110188
73816.12625,-88.45520681
75535.52471,-88.50658542
77294.9731,-88.55544119
79095.40431,-88.60195763
80937.77296,-88.64630067
82823.05588,-88.68862066
84752.25268,-88.72905419
86726.38624,-88.7677256
88746.50329,-88.80474831
90813.67491,-88.84022598
92928.99713,-88.87425358
95093.59155,-88.9069182
97308.60584,-88.93829992
99575.21445,-88.96847244
101894.6191,-88.99750376
104268.0497,-89.02545667
106696.7646,-89.05238927
109182.0515,-89.07835538
111725.2282,-89.10340494
114327.6431,-89.12758435
116990.676,-89.15093679
119715.7389,-89.17350249
122504.2767,-89.19531896
125357.7679,-89.21642126
128277.7254,-89.23684216
131265.6974,-89.25661235
134323.2683,-89.2757606
137452.0592,-89.29431392
140653.7289,-89.31229765
143929.9751,-89.32973566
147282.5349,-89.34665042
150713.1859,-89.36306309
154223.747,-89.37899365
157816.0795,-89.39446096
161492.0882,-89.40948285
165253.7222,-89.4240762
169102.9759,-89.438257
173041.8902,-89.45204039
177072.5536,-89.46544076
181197.1032,-89.47847175
185417.726,-89.49114634
189736.6596,-89.50347689
194156.1942,-89.51547514
198678.6729,-89.5271523
203306.4937,-89.53851904
208042.1103,-89.54958557
212888.0335,-89.56036162
217846.8329,-89.57085649
222921.1375,-89.58107909
228113.6378,-89.59103793
233427.087,-89.60074118
238864.3023,-89.61019665
244428.1667,-89.61941185
250121.6301,-89.62839398
255947.7113,-89.63714995
261909.4993,-89.6456864
268010.1553,-89.65400972
274252.9138,-89.66212605
280641.0848,-89.6700413
287178.0554,-89.67776118
293867.2916,-89.68529117
300712.3402,-89.69263655
307716.8304,-89.69980244
314884.4761,-89.70679376
322219.0778,-89.71361526
329724.5243,-89.72027153
337404.7951,-89.72676701
345263.9624,-89.733106
353306.1932,-89.73929264
361535.7516,-89.74533094
369957.0011,-89.7512248
378574.4067,-89.75697797
387392.5374,-89.76259409
396416.0688,-89.76807671
405649.7852,-89.77342924
415098.5826,-89.778655
424767.4706,-89.78375721
434661.576,-89.78873898
444786.1448,-89.79360337
455146.545,-89.79835329
465748.27,-89.80299162
476596.9408,-89.80752112
487698.3097,-89.8119445
499058.2627,-89.81626436
510682.8229,-89.82048327
522578.154,-89.82460368
534750.5629,-89.82862801
547206.5036,-89.8325586
559952.5805,-89.83639773
572995.5516,-89.84014762
586342.3326,-89.84381041
600000,-89.84738821
