,,
,,
,            Frequency,           P(V(C1:2))
,1169906.76,-179.9610219
,1197157.389,-179.9619092
,1225042.767,-179.9627763
,1253577.679,-179.9636236
,1282777.254,-179.9644517
,1312656.974,-179.9652609
,1343232.683,-179.9660517
,1374520.592,-179.9668245
,1406537.289,-179.9675797
,1439299.751,-179.9683176
,1472825.349,-179.9690388
,1507131.859,-179.9697436
,1542237.47,-179.9704323
,1578160.795,-179.9711053
,1614920.882,-179.971763
,1652537.222,-179.9724058
,1691029.759,-179.9730339
,1730418.902,-179.9736477
,1770725.536,-179.9742475
,1811971.032,-179.9748337
,1854177.26,-179.9754065
,1897366.596,-179.9759663
,1941561.942,-179.9765133
,1986786.729,-179.9770479
,2033064.937,-179.9775703
,2080421.103,-179.9780809
,2128880.335,-179.9785798
,2178468.329,-179.9790673
,2229211.375,-179.9795437
,2281136.378,-179.9800093
,2334270.87,-179.9804643
,2388643.023,-179.980909
,2444281.667,-179.9813435
,2501216.301,-179.9817681
,2559477.113,-179.9821831
,2619094.993,-179.9825886
,2680101.553,-179.9829849
,2742529.138,-179.9833721
,2806410.848,-179.9837506
,2871780.554,-179.9841204
,2938672.916,-179.9844818
,3007123.402,-179.984835
,3077168.304,-179.9851802
,3148844.761,-179.9855174
,3222190.778,-179.985847
,3297245.243,-179.9861692
,3374047.951,-179.9864839
,3452639.624,-179.9867915
,3533061.932,-179.9870921
,3615357.516,-179.9873859
,3699570.011,-179.987673
,3785744.067,-179.9879535
,3873925.374,-179.9882277
,3964160.688,-179.9884956
,4056497.852,-179.9887574
,4150985.826,-179.9890133
,4247674.706,-179.9892633
,4346615.76,-179.9895076
,4447861.448,-179.9897464
,4551465.45,-179.9899797
,4657482.7,-179.9902078
,4765969.408,-179.9904306
,4876983.097,-179.9906484
,4990582.627,-179.9908612
,5106828.229,-179.9910692
,5225781.54,-179.9912724
,5347505.629,-179.991471
,5472065.036,-179.9916651
,5599525.805,-179.9918547
,5729955.516,-179.9920401
,5863423.326,-179.9922212
,6000000,-179.9923982
