Frequency,P(V(C1:1))
11172.52282,-145.2452484
11432.76431,-149.1716218
11699.0676,-152.3763964
11971.57389,-155.0274972
12250.42767,-157.2491152
12535.77679,-159.1333346
12827.77254,-160.7490295
13126.56974,-162.1483039
13432.32683,-163.3710656
13745.20592,-164.4482638
14065.37289,-165.4041903
14392.99751,-166.2581313
14728.25349,-167.0255639
15071.31859,-167.7190334
15422.3747,-168.3488035
15781.60795,-168.9233448
16149.20882,-169.4497038
16525.37222,-169.9337862
16910.29759,-170.3805765
17304.18902,-170.7943083
17707.25536,-171.1785995
18119.71032,-171.5365591
18541.7726,-171.8708728
18973.66596,-172.1838722
19415.61942,-172.4775906
19867.86729,-172.7538091
20330.64937,-173.0140942
20804.21103,-173.2598291
21288.80335,-173.492239
21784.68329,-173.7124138
22292.11375,-173.9213255
22811.36378,-174.1198438
23342.7087,-174.3087493
23886.43023,-174.4887446
24442.81667,-174.6604636
25012.16301,-174.8244796
25594.77113,-174.9813127
26190.94993,-175.1314357
26801.01553,-175.2752791
27425.29138,-175.4132361
28064.10848,-175.5456662
28717.80554,-175.6728992
29386.72916,-175.7952376
30071.23402,-175.9129601
30771.68304,-176.0263233
31488.44761,-176.1355642
32221.90778,-176.240902
32972.45243,-176.3425396
33740.47951,-176.4406653
34526.39624,-176.5354541
35330.61932,-176.6270688
36153.57516,-176.7156609
36995.70011,-176.8013721
37857.44067,-176.8843344
38739.25374,-176.9646715
39641.60688,-177.0424993
40564.97852,-177.1179264
41509.85826,-177.1910547
42476.74706,-177.2619802
43466.1576,-177.330793
44478.61448,-177.3975782
45514.6545,-177.462416
46574.827,-177.525382
47659.69408,-177.5865478
48769.83097,-177.6459812
49905.82627,-177.7037461
51068.28229,-177.7599035
52257.8154,-177.8145109
53475.05629,-177.8676232
54720.65036,-177.9192924
55995.25805,-177.9695681
57299.55516,-178.0184975
58634.23326,-178.0661254
60000,-178.1124949
61397.57954,-178.1576469
62827.71288,-178.2016204
64291.15831,-178.2444529
65788.69177,-178.2861801
67321.10726,-178.3268364
68889.21729,-178.3664545
70493.8533,-178.4050659
72135.86608,-178.4427009
73816.12625,-178.4793884
75535.52471,-178.5151562
77294.9731,-178.5500312
79095.40431,-178.5840391
80937.77296,-178.6172047
82823.05588,-178.6495519
84752.25268,-178.6811036
86726.38624,-178.711882
88746.50329,-178.7419085
90813.67491,-178.7712037
92928.99713,-178.7997875
95093.59155,-178.8276793
97308.60584,-178.8548974
99575.21445,-178.88146
101894.6191,-178.9073844
104268.0497,-178.9326874
106696.7646,-178.9573853
109182.0515,-178.9814938
111725.2282,-179.0050282
114327.6431,-179.0280033
116990.676,-179.0504334
119715.7389,-179.0723324
122504.2767,-179.0937138
125357.7679,-179.1145906
128277.7254,-179.1349756
131265.6974,-179.1548811
134323.2683,-179.174319
137452.0592,-179.193301
140653.7289,-179.2118383
143929.9751,-179.2299419
147282.5349,-179.2476225
150713.1859,-179.2648904
154223.747,-179.2817558
157816.0795,-179.2982284
161492.0882,-179.3143177
165253.7222,-179.3300331
